#{"t_start": 1764260614.415021, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.637833
-50.0,50,0.753435
-50.0,50,0.868966
-50.0,50,0.985427
-50.0,50,1.111465
-50.0,50,1.228343
-50.0,50,1.341227
-50.0,50,1.455098
-50.0,50,1.57037
-50.0,50,1.695355
-50.0,50,1.807025
-50.0,50,1.922349
-15.0,16,1.959385
-50.0,50,2.073547
-50.0,50,2.191759
-50.0,50,2.304659
-50.0,50,2.4143
-31.0,32,2.482877
-50.0,50,2.597872
-50.0,50,2.711086
-50.0,50,2.825584
-50.0,50,2.940356
-50.0,50,3.052245
-50.0,50,3.167466
-50.0,50,3.281976
-5.0,6,3.294708
-50.0,50,3.408966
-50.0,50,3.520843
-50.0,50,3.635104
-50.0,50,3.747072
-50.0,50,3.85774
-50.0,50,3.971951
-50.0,50,4.085073
-50.0,50,4.197418
-50.0,50,4.311886
-50.0,50,4.426038
-50.0,50,4.537517
-50.0,50,4.650758
-50.0,50,4.770366
-50.0,50,4.890309
-50.0,50,5.005102
-50.0,50,5.119584
-11.0,12,5.147158
-50.0,50,6.131725
-50.0,50,6.241277
-50.0,50,6.354393
-50.0,50,6.466603
-50.0,50,6.577776
-50.0,50,6.696108
-50.0,50,6.815182
-50.0,50,6.928368
-50.0,50,7.045408
-50.0,50,7.160429
-50.0,50,7.274042
-50.0,50,7.385563
-50.0,50,7.502103
-27.0,28,7.566605
-20.0,21,7.614562
-50.0,50,7.722341
-50.0,50,7.833331
-4.0,5,7.844241
-50.0,50,7.953297
-50.0,50,8.064125
-50.0,50,8.176298
-50.0,50,8.293455
-50.0,50,8.401626
-50.0,50,8.514863
-50.0,50,8.632859
-50.0,50,8.745304
-50.0,50,8.858523
0.0,1,8.861131
-50.0,50,8.97353
-50.0,50,9.090105
-50.0,50,9.196835
-50.0,50,9.31157
-50.0,50,9.423537
-50.0,50,9.532662
-50.0,50,9.646449
-50.0,50,9.756755
-50.0,50,9.871014
-50.0,50,9.979949
-50.0,50,10.090205
-50.0,50,10.208289
-50.0,50,10.317455
-50.0,50,10.433646
-50.0,50,10.54
-50.0,50,10.649061
-50.0,50,11.635012
-50.0,50,11.747164
-50.0,50,11.86127
-50.0,50,11.973364
-50.0,50,12.088029
-50.0,50,12.201626
-50.0,50,12.315507
-2.0,3,12.322034
-28.0,29,12.386981
-50.0,50,12.495194
-50.0,50,12.607767
-50.0,50,12.716833
-1.0,2,12.721295
-50.0,50,12.829022
-50.0,50,12.944856
-50.0,50,13.054386
-50.0,50,13.164679
-50.0,50,13.278172
-50.0,50,13.390604
-50.0,50,13.505641
-50.0,50,13.920041
-14.0,15,13.952385
-50.0,50,14.069062
-50.0,50,14.179596
-50.0,50,14.295305
-50.0,50,14.40892
-50.0,50,14.52052
-15.0,16,14.554579
-50.0,50,14.67157
-21.0,22,14.72229
-50.0,50,14.838155
-50.0,50,14.947263
-50.0,50,15.059024
-1.0,2,15.06402
-2.0,3,15.071354
-50.0,50,15.179068
-50.0,50,15.291778
-50.0,50,15.402902
-50.0,50,15.514141
-50.0,50,15.623875
-7.0,8,15.642049
-50.0,50,15.75412
-50.0,50,15.859882
-50.0,50,15.972116
-50.0,50,16.082886
-50.0,50,16.194588
-50.0,50,16.306352
-50.0,50,16.416004
-50.0,50,17.384707
-50.0,50,17.492049
-50.0,50,17.600778
-50.0,50,17.706361
-50.0,50,17.820975
-50.0,50,17.931913
-50.0,50,18.038164
-50.0,50,18.149098
-50.0,50,18.2544
-50.0,50,18.358352
-50.0,50,18.468288
-50.0,50,18.577929
-50.0,50,18.689662
-50.0,50,18.799328
-50.0,50,18.90673
-50.0,50,19.015789
-50.0,50,19.121968
-50.0,50,19.231161
-50.0,50,19.340685
-50.0,50,19.449623
-50.0,50,19.558693
-50.0,50,19.670959
-50.0,50,19.781258
-50.0,50,19.891057
-50.0,50,19.996019
-50.0,50,20.103043
-50.0,50,20.208288
-50.0,50,20.315189
0.0,1,20.317712
-50.0,50,20.427759
-4.0,5,20.438083
0.0,1,20.440462
-50.0,50,20.556824
-50.0,50,20.666421
-50.0,50,20.775656
-50.0,50,20.891156
-50.0,50,21.002061
-50.0,50,21.113451
-50.0,50,21.219921
-50.0,50,21.322165
-50.0,50,21.435499
-50.0,50,21.544197
-50.0,50,21.652104
-50.0,50,21.758669
-50.0,50,22.740648
-50.0,50,22.853984
-50.0,50,22.963241
-50.0,50,23.069004
-11.0,12,23.095358
-50.0,50,23.199184
-50.0,50,23.311695
-50.0,50,23.42296
-50.0,50,23.532018
-50.0,50,23.639665
-50.0,50,23.747817
-50.0,50,23.85625
-50.0,50,23.96773
-50.0,50,24.075087
-50.0,50,24.183517
-50.0,50,24.295494
-50.0,50,24.402392
-50.0,50,24.510428
-50.0,50,24.618699
-50.0,50,24.72436
-2.0,3,24.730687
-50.0,50,24.839712
-50.0,50,24.941509
-50.0,50,25.046438
0.0,1,25.048979
-50.0,50,25.160861
-50.0,50,25.270341
-50.0,50,25.377753
-50.0,50,25.482472
-50.0,50,25.587942
-50.0,50,25.694458
0.0,1,25.696895
-50.0,50,25.806045
-50.0,50,25.916884
-50.0,50,26.02251
-50.0,50,26.131908
-3.0,4,26.141122
-50.0,50,26.245343
-50.0,50,26.349942
-50.0,50,26.4583
-50.0,50,26.562486
-50.0,50,27.002028
-50.0,50,27.118515
-50.0,50,27.227106
0.0,1,27.229394
-50.0,50,27.336768
-50.0,50,28.316279
-50.0,50,28.423378
-50.0,50,28.533004
-50.0,50,28.641014
-50.0,50,28.746516
-50.0,50,28.853422
-50.0,50,28.96557
-50.0,50,29.071857
-50.0,50,29.179725
-50.0,50,29.288513
-50.0,50,29.394409
-50.0,50,29.498096
-50.0,50,29.604079
-50.0,50,29.711567
-50.0,50,29.82346
-2.0,3,29.829854
-50.0,50,29.935429
-50.0,50,30.040807
-2.0,3,30.047475
-50.0,50,30.155967
-50.0,50,30.261079
-50.0,50,30.365504
-50.0,50,30.476079
-50.0,50,30.585183
-50.0,50,30.698332
-21.0,22,30.743306
-50.0,50,30.850627
-50.0,50,30.958573
-50.0,50,31.066938
-50.0,50,31.17362
-50.0,50,31.285797
-50.0,50,31.388091
-50.0,50,31.495811
-50.0,50,31.608003
-5.0,6,31.621057
-50.0,50,31.727597
-50.0,50,31.835449
-50.0,50,31.9374
-3.0,4,31.945992
